"english","tulu"
"In the 15th century  St. James's Church was the first religious institution in India  built by Sir Walter and Nancy Sartie in 1827.","15ನೇ ಶತಮಾನೊದ ನಲ್ಲೂರು ಕಂದಸ್ವಾಮಿ ದೇವಸ್ಥಾನದ ಜಾಗೆ ಇತ್ತೆ ನಲ್ಲೂರುದ ಸೇಂಟ್ ಜೇಮ್ಸ್ ಚರ್ಚ್ ಆದುಂಡು  ಉಂದೆನ್ ಪೋರ್ಚುಗೀಸೆರ್ ನಿರ್ಮಾಣ ಮಲ್ತೆರ್ ಆಂಡ ನನೊಂಜಿ ಸರ್ತಿ 1827ಡ್ ಬ್ರಿಟಿಷೆರೆನ ಆಕ್ರಮಣೊದ ಪೊರ್ತುಡು ರೋಮನ್ ಕ್ಯಾಥೊಲಿಕ್ ಚರ್ಚ್ ದ ಧರ್ಮೊಡ್ದ್ ಆಂಗ್ಲಿಕನ್ ಗ್ ಬದಲಾವಣೆ ಮಲ್ತೆರ್"
"Sara Aboobacker  who has been a consistent performer for Pond's since the inception of Vocational Education  is also known for her contribution to the field of education.","” ಪೊಣ್ಣು ಜೋಕುಲೆಗ್‍ ಶಿಕ್ಷಣ ಪೊಣ್ಣು ಜೋಕುಲೆಗ್ ಶಿಕ್ಷಣ ತಿಕ್ಕೊಡು ಪಂಡ್‌ದ್‌ ನಿರಂತರವಾದ್ ಪ್ರತಿಪಾದಿಸುನ ಸಾರಾ ಅಬೂಬಕ್ಕರ್ “ಪೊಣ್ಣು ಜೋಕುಲು ಪ್ರಾಣಿಲು  ಪೆದ್ದಿಯೆರೆ ಉಪ್ಪುನ ಯಂತ್ರೊಲು ಪಂಡ್‍ದ್ ಬಿಂಬಿಸುನ ಸಮಾಜ ನಮ್ಮವು"
"Culture ( Devanagari ) Left corrod left corrugated iron with left axle for swarakshara.","ಸಂಸ್ಕೃತೊಡು(ದೇವನಾಗರಿ) ಸ್ವರಾಕ್ಷರೊಲು ‘ಅ’ ಕಾರೊಡ್ದು ‘ಔ’ ಕಾರೊಗ್ ಮುಟ್ಟ ೧೪ ಅಕ್ಷರೊಲು ಉಲ್ಲೊ"
"How many parts of the cotton crop do you need?","ಕೋತಿನ್ ಆಫ್ರಿಕಾದ ಕೆಲವು ಭಾಗಡ್ “ಬುಶ್‌ಮೀಟ್” ಪಂದ್ ಪುದರ್ ಉಂಡು"
"The E partner in the bookie or sportsperson is the owner of the arena manager's fund.","ಬುಕ್ಕೊ  ಆರ್ ಸ್ಪ್ಲಿಟ್ಸ್ವಿಲ್ಲಾ ೮ ಡ್ ಭಾಗವಹಿಸಿಯೆರ್  ಅವುಲು ಅರೆನ್ ಗೆಂದಿಯೆರ್ ಪಂಡ್ದ್ ಘೋಷನೆ ಮಲ್ತೆರ್"
"For example  at the compound gate of the city railway yard  there is a roundabout on the track.","ಉಂದು ಕಂಫಾಂಗ್ ಫೆಟ್ ರಸ್ತೆಡ್ ಎಸ್ಆರ್ಟಿ ರೈಲ್ವೆ ಯಾರ್ಡ್ ದ ಭಾಗೊಡು  ಬಳಕೆ ಆವಂದಿನ ಗೋದಾಮುಲು  ಟ್ರ್ಯಾಕ್ ಲು ಬುಕ್ಕೊ್ಕ ರೋಲಿಂಗ್ ಸ್ಟಾಕ್ (ಅಂಚಾದ್ ಈ ಪುದರ್) ನಡುಟು ಇತ್ತ್ಂಡ್"
"Best JULL Left Footwear","ಉಷಾ ಜುಲೈ ೩  ೧೯೩೯ಡ್ ಪುಟ್ಟುವೆರ್"
"निर्नालो / कान्यका नीयकनाशबहाद्रापदाता आविनापुरात्तासीVirgoCheptboard-October Bible-Rabylocker7","ನಿರ್ನಾಲೊ/ಕನ್ಯಾKaṉṉiಕನ್ಯಾBhādrapada–AśvinaPurattasiVirgoಸೆಪ್ಟಂಬರೊ-ಅಕ್ಟೋಬರರಬಿಲಾವಲ್-ರಬಿಲಾಖರ್7"
"For example  if you are planning to buy a house with a lot of teak wood  then you have to pay for it.","ಉಂದು ಎಚ್ಚ ತೇವಾಂಶ ಇತ್ತಿನ ಜಾಗೊಡು ಬುಲೆವುಂಡು ಅಂಚೆನೆ ನೆಕ್ಕ್ ನಾಯಿಕೊಡೆ ಪಂದ್ ಲಾ ಪನ್ಪೆರ್"
"Thumbs up Mr. Gopalkrishna Prabhoo Parrikar ( Maharashtra )  Chief Minister Manohar Parrikar  and the Bharatiya Janata Party ( BJP ) -led National Democratic Alliance ( NDA ).","thumb ಮನೋಹರ್ ಗೋಪಾಲಕೃಷ್ಣ ಪ್ರಭು ಪರಿಕ್ಕರ್ (೧೩ ಡಿಸೆಂಬರ್ ೧೯೫೫ - ೧೭ ಮಾರ್ಚ್ ೨೦೧೯ )ಗೋವಾ ಮುಖ್ಯಮಂತ್ರಿ ಮನೋಹರ್ ಪರಿಕರ್ ನಿಧನ ಭಾರತೀಯ ಜನತಾ ಪಕ್ಷ (ಬಿಜೆಪಿ)  ಭಾರತೊದ ಸ್ಥಾನಿಕ ರಕ್ಷಣಾ ಸಚಿವೆರೆಡ್ದ್ ಭಾರತೊದ ರಾಜಕಾರಣಿ ಆದಿತ್ತೆರ್"
"Kashiba Bokko Yogyakarta Pumpy Rundhundhunthundh ( काशिबाबा बोक्को योगिराज पुंपी बिरुद्धुंध )","ಕಾಶೀಬಾಬಾ ಬುಕ್ಕೊ ಯೋಗಿರಾಜ ಪನ್ಪಿ ಬಿರಿದುಲಿತ್ತ್ಂಡ್"
"Balachander  Jemini  Ganesh and Raman sit on the left side of the road.","ಬಾಲಚಂದರ್ ಜೆಮಿನಿ ಗಣೇಶನ್  ಮುತ್ತುರಾಮನ್ ೧೯೭೨ ವೆಲ್ಲಿ ವಿಳಾ ಕೆ"
"0 Dushanbe Turkmenistan 488 100 4 688 963 9","0 ದುಶಾನ್ಬೆ ತುರ್ಕ್‍ಮೇನಿಸ್ತಾನ್ 488 100 4 688 963 9"
"Take a look at some of the latest videos of tennis player Sachin Tendulkar.","ತೆನಸ್ ಸಾಮನ್ಯವಾದ್ ಪೆರ್ಮರಿ ತನ್ನಡ್‍ದ್ ಕಿನ್ಯ ಪ್ರಾಣಿಲೆನ್ ಬೋಟೆ ಗೊಬ್ಬುಂಡು"
"Chandni Chowk with a view of the newly constructed Beigh Caballer Complex.","ಗೊಬ್ಬುದ ಸುರುತ ದಿನ ಬೈಯ್ಯಗ್ ಕಾಬ್ಲರ್ ಕುಟುಂಬದಕ್‍ಲ್ ದೇವಸ್ದಾನದ ಗೋಪುರೊಡು ಚೆಂಡ್‍ನ್ ದೀಪೆರ್"
"For example  the correct form of the Kannada word is कंड वासेत सुरुत्त प्रतिक्ति","ಉಂದು ಕನ್ನಡ ಬಾಸೆದದ ಸುರುತ್ತ ಪತ್ರಿಕೆ"
"The other end of the line is between Rd and Comballand which is short and long.","ನಿರ್ದಿಷ್ಟವಾಯಿನ ಅಂತರೊಡು ರಡ್ ಮರತ್ತ ಕಂಬೊಲೆನ್ ದೀದ್ ಅಯ್ತ ಕೊಡಿಕ್ ಅಡ್ಡ ಮರನ್ ದೀಪೆರ್"
"A fireman's coil of fire with a low beam and a large hydraulic bulb produces a single burst of fire.","ಅಗ್ನಿದೇವೆರೆನ ಕಾಯರ್ದ್ ಒಂಜಿ ಛಾಯೆ ಬ್ರಹ್ಮನ ಆಸನ ಕಮಲದ ಮಿತ್ತ್ ಬೂರುದು ಅಯಿಡ್ದ್ ದೈವಿಕ ಬೊಲ್ಪುದ ಕಾಯೊಡು ಒಂಜಿ ಪೊರ್ಲ ದೇವಿ ಪುಟ್ಟುಂಡು"
"Burroughs Welcome to the North Carolina Research Triangle Park","ಬರ್ರೋಸ್ ವೆಲ್ಕಮ್ ಉತ್ತರ ಕೆರೊಲಿನಾದ ರಿಸರ್ಚ್ ಟ್ರಯಾಂಗಲ್ ಪಾರ್ಕ್‌ಗೆ ಸ್ಥಳಾಂತರ ಆಯಿ ಬುಕ್ಕೊ  ಎಲಿಯನ್ ಕೈತಲ್ ದ ಚಾಪೆಲ್ ಹಿಲ್‌ಗ್ ಪೋಯೆರ್"
"The first stage of the project","ಉಂದೊಂಜಿ ಪೊಸ ವರ್ಗೊ"
"If you do not have an email address for the entire community  please contact us in February.","ಕೋಲ ಮಲ್ಪಿನ ಪೊರ್ತು ಸಾವಾತಿನ ಇಲ್ಲಡ್ ಇಲ್ಲದಕುಲು ಪದ್ರಾಡ್ ದಿನ ಸೂತಕೊಡು ಇಪ್ಪುವೆರ್"
"If the ball is not moving  then the ball will be moving a little more than half an inch.","ಬಾಲೆನ್ ಏತ್ ಪೊರ್ಲುಡು ತಾಂಕೊಂದು ಇತ್ತೆರ್ ಪಂಡ ಒಂಜಿ ಗಾದೆ ಬಾಲೆನ್ ಕುರಿತಾದ್ ಇಂಚ ಪನ್ಪುಂಡು"
"Rikavikka : October-October-February-Occupied Work Contract","ರೀಕಾವಿಕ್  ೧೪ ಅಕ್ಟೋಬರ್ ೨೦೦೪ ಬುಕ್ಕೊ ವಿಯೆನ್ನಾಸಂಗೀತ ಕಾರ್ಯಕ್ರಮದ ಕರಪತ್ರ"
"Why February left is less than half of the total length of the previous day  why this evening's morning session is the last day of the week?","ಫೆಬ್ರವರಿ ೨೦೧೮ಡ್  ಏಕದಿನ ಪಂದ್ಯೊಲೆಡ್ ೧೦೦೦ ರನ್‌ಲೆನ್ ಪಡೆಯಿನ ಭಾರತೊದ ಕಿನ್ಯ ಮಹಿಳಾ ಗೊಬ್ಬುದಾರಾದಿತ್ತೆರ್  ಈ ಸಾದನೆನ್ ಮೆರ್ ಮೂಜಿನೆ ಏಕದಿನ ಪಂದ್ಯೊದ ಸಮಯೊಡು ದಕ್ಷಿಣ ಆಫ್ರಿಕಾದ ವಿರುದ್ಧ ಸಾದಿಸದೆರ್"
"Now the number of laptops has come down drastically and photons have increased.","ಈಗ ಲೆಪ್ಟೋನ್ ಗಳ ಸಂಖ್ಯೆ ತೀರಾ ಕಡಿಮೆಯಾಗಿ ಫೋಟಾನ್ ಗಳು ಹೆಚ್ಚಿದವು"
"Problems Graph distribution Partial problems cause graphs to be disabled on all Wikimedia projects.","ಸಮಸ್ಯೆಗಳು ಗ್ರಾಫ್ ವಿಸ್ತರಣೆ ಭದ್ರತಾ ಸಮಸ್ಯೆಗಳ ಕಾರಣ  ಎಲ್ಲಾ ವಿಕಿಮೀಡಿಯಾ ಯೋಜನೆಗಳಲ್ಲಿ ಗ್ರಾಫ್‌ಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ"
"The first cut is the base of the non-injet string.","ಒಂಜಿ ಕೈಟ್ ಕತ್ತಿ ನನೊಂಜೈಟ್ ಕತ್ತೆರ್ದಿನ ಮಂಡೆ"
"Manjul Ranga and Manjul Kappu Sher-e-Kashmir's former captain Girish Taujulalek Gite Paduwar","ಮಂಜಲ್ ರಂಗ್ ದ ಮಿತ್ತ್ ಮಂಜಲ್ ಕಪ್ಪು ಸೇರ್ದಿನ ಪಿಲಿತ ಮೈತ ಚರ್ಮದ ಗೀರ್ ತೋಜುಲೆಕ ಗೀಟ್ ಪಾಡುವೆರ್"
"On the left is the award for creative research  and on the right is the Congress on Research and Development ( CCRD ) award.","೧೯೯೮ಡ್  ಆರ್ ""ನೃತ್ಯ ಸಂಶೋಧನೆಗ್ ಅತ್ಯುತ್ತಮ ಕೊಡುಗೆ"" ಪ್ರಶಸ್ತಿನ್ ಪಡೆಯೆರ್  ಉಂದೆನ್ ಕಾಂಗ್ರೆಸ್ ಆನ್ ರಿಸರ್ಚ್ ಇನ್ ಡಾನ್ಸ್ (ಸಿಒಆರ್ಡಿ) ಕೊರ್ತುಂಡು"
"SwaroopPerialwarR  which was founded by Dr.","ದ್ವನಿಸಾಸ್ತ್ರೊ ಪಟ್ಟಿಡ್ ಇರುಳದ ಸ್ವರೊPerialwar  R"
"Two hours before the start of the day  you will have to wait for the engine to start working again.","ದುಂಬು ಕೆಲೆವೆರ್ ಕಲಿ ಮೂರುನವು  ಮಗ್ಗ  ಮೀನ್ ಪತ್ತುನವು ಇಂಚಿತ್ತಿ ಕಸಬುಲೆನ್ ಮಲ್ಪೊಂದಿತ್ತಿನಕಲುಲು ಇತ್ತೆರ್"
"Example Kizipu Multipurpose Warehouse","ಉಂದೆನ್ ಕಜಿಪು ಮಲ್ಪುವೆರ್"
"Wikisource - A self-help group is a social media platform owned by Pundt.","ವಿಕಿಸೋರ್ಸ್ - ಒಂಜಿ ಸ್ವತಂತ್ರ ಪುಸ್ತಕೊಲೆ ಬೂಡು ಆವು ಪಂಡ್ದ್ ಎನ್ನ ಅಭಿಪ್ರಾಯ ಸೊ ಪದ ಸ್ವ ಉಚ್ಚಾರ ಮಲ್ಪೆರೆ ಆವಂದೆ ಸೊ ಆದುಪ್ಪು"
"Take a look at Japan's left-hand side  which is represented by the javelin throw bag.","ಜಪಾನ್‌ಡ್ ನಡತ್ತ್‌ನ ಟೋಕಿಯೋ ೨೦೨೦ನೆ ಒಲಿಂಪಿಕ್‌ ಗೊಬ್ಬುಡು ಜಾವೆಲಿನ್ ಥ್ರೋ ಇಬಾಗೊನು ಪ್ರತಿನಿದಿಸದ್ ೮೭"
"The best time to visit is the first week of February.","ಅನ್ಯಮತತ್ತ ಜೋಡಿ ತಮಟೆ ಬೊಟ್ಟೊಂದು ಊರುದ ಪಿದಯಿದ ಸುತ್ತುಡು ಸುತ್ತೊಂದು ಉಪ್ಪುವೆರ್"
"html This is the first page of the official document Shandong Paryaya and the last page is written by Andalaji Mst Sthirwad.","html ಇತಿಹಾಸ ಐತಿಹಾಸಿಕ ದಾಖಲೆಡ್ ಶಾಂಡೊಂಗ್ ಪರ್ಯಾಯ ದ್ವೀಪೊದ ಉತ್ತರ ಬೊಕ್ಕ ದಕ್ಷಿಣೊಡು ಹಳದಿ ನದಿತ ಬಾಯಿ ಮಸ್ತ್ ಏರಿಳಿತ ಆಂಡಲಾ  ಯಾಂಗ್ಜಿ ಮಸ್ತ್ ಸ್ಥಿರವಾದ್ ಉಂಡು"
"O 'Pundit  the public mover in front of your condominium","ನಿನ್ನ ಕಂಡನ್ಯನ್ಲಾ ಲೆತೊಂದ್ ಬಯ್ದ ಅತಾ' ಪಂಡ್‍ದ್ ಅವಮಾನ ಮಲ್ಪುವೆರ್"
"Built and designed by Adi Chetti  designed and built with the help of Jawa's chair.","ಬಿಸಲೆದ ಆಡಿ ಚಟ್ಟೆ ಇಜ್ಜಾಂದಿನೆಡ್ದ್‍ ದಿಕ್ಕೆಲ್‍ಡ್‍ ಇತ್ತಿ ಬಿಸಲೆನ್‍ ಜಾವಾದ್‍ ಚೆರಿಯದ ಮಿತ್ತ್‍ ದೀವೊಡು"
"Then work on developing a coil-insulating technology  and then working on the design of a commercial coil cartridge.","ಅರೆನ ಕೆಲಸೊಡು ಕಾಯಿಲೆ-ನಿರೋಧಕ ತಳಿಲೆನ್ ಅಭಿವೃದ್ಧಿ ಮಲ್ತೆರ್ ಬೊಕ್ಕ ಬೀಜ-ಜನ್ಯ ಕಾಯಿಲೆಲೆದ ಕ್ಯಾಟಲಾಗ್ ಮಲ್ತು ದೀತೆರ್"
"This chandamarut sundar of the Vrindhya type was sent to the gate of the Bokkho Saavi on the left bank of the river.","ವರದಿದ ಪ್ರಕಾರ ಈ ಚಂಡಮಾರುತಡ್ ಸುಮಾರ್ ೯೮೮೭ ಜನ ಸೈತ್ ದೆರ್  ಬುಕ್ಕೊ ಸಾವಿರ ಗಟ್ಟಲೆ ಜನೋಕುಲು ದೇಶಾಂತರ ಪೋತೆರ್"
"Nizhalgad Molkalmur 1 November 1956 16 May 1958 Surat Vidyalaya ( 1952-1957 ) Indian National Congress University of Chennai ( 1957-1962 ) 5 100px","ನಿಜಲಿಂಗಪ್ಪ ಮೊಳಕಾಲ್ಮೂರು 1 ನವೆಂಬರ್ 1956 – 16 ಮೇ 1958 ಸುರುತ ವಿಧಾನಸಭೆ (1952–57) ಭಾರತೀಯ ರಾಷ್ಟ್ರೀಯ ಕಾಂಗ್ರೆಸ್ ರಡ್ಡನೇ ವಿಧಾನಸಭೆ (1957–62) 5 100px ಬಿ"
"Bunko mazad ndi of kadai and thundurud beipaar diya.","ಕಡೆಯಿನ ಬಂದೊನು ಬುಕ್ಕೊ ಮಾಜಾದ್ ಉಂಡೆ ಮಲ್ತ್‌ದ್  ತೊಂದುರುಡ್ ಬೇಯಿಪಾವರ ದೀವೊಡು"
"The President of the Islamic Republic of Iran  Arshad Majhi  was the first president of the People's Republic of China  followed by the Prime Minister of Afghanistan  Sheikh Mohammed bin Rashid Al Maktoum  and the Deputy Prime Minister  Sheikh Hamdan bin Zayed Al Nahyan.","ಐನ್ ಸಾವಿರ ಅರ್ಜಿದಾರೆರೆಡ್ದ್ ಮೂಜಿ ಪ್ರಮುಖ ಪಾತ್ರೊಲೆಡ್ ಒಂಜಿ ಪಾತ್ರೊಗು ಆಯ್ಕೆ ಆಯಿ ಬೊಕ್ಕ  ಆರ್ ರೋಮಾ ಅಸ್ರಾನಿ ಬೊಕ್ಕ ಮಾರಿಯಾ ರಾಯ್ ನ ಒಟ್ಟುಗು ತೋಜಿದ್ ಬತ್ತೆರ್"
"Thozhith Balachander  who was born to a Muslim family with a humble background.","ತುಳುತ ಪೊಸ ಸಾಹಿತ್ಯೊದ ಮಜಲ್ಡ್ೆ ಬೇತೆ ಬೇತೆ ಪ್ರಕಾರೊದಂಚಿನ ಬೇರುಲು ತೋಜಿದ್ ಬತ್ತ್ಂಚಡ್"
"Don 't have a whole bunch of friends in the house.","ಉಲ್ಲಯನಗ್ಲ್ ಪೂರ ಸನಿಯಾರೊ ಬರೊಡು"
"When you use this script to describe the structure of the script  you will see that the script is written in the form of a multi-layer box.","ಆರ್ಯ ಬಾಷೆಯಾಯಿನ ಸಂಸ್ಕೃತೊನು ಬರೆಯೆರೆ ಈ ಲಿಪಿನ್ ಉಪಯೋಗ ಮಲ್ತಿನೆಡ್ದಾತ್ರ ಆರ್ಯ ಎಳುತ್ತುಂದುಲ ಬುಕ್ಕೊ ತುಳುನು ಬರೆಯೆರೆ ಉಪಯೋಗ ಮಲ್ತಿನೆಡ್ಡಾತ್ರ ತುಳು ಲಿಪಿಂದ್‌ಲ ಲೆಪ್ಪುವೆರ್"
"Left Served by R. Iagnod  Human Resource Management M.B.A.","೨೦೦೫ಡ್  ಸೇವೆಡ್ ಉಪ್ಪುನಗ  ಆರ್ ಐಗ್ನೋಡ್ದ್ ಮಾನವ ಸಂಪನ್ಮೂಲ ನಿರ್ವಹಣೆಡ್ ಎಂಬಿಎ ಮಲ್ತೆರ್"
"And then that year's number nine was the number two in India  which is the number one in the world.","ಅಂಚೆನೆ ಆ ವರ್ಷದ ನವೆಂಬರ್‌ಡ್ ಅನಿವಾಸಿ ಭಾರತೀಯರೆಗಾದ್ ಬೇತೆನೆ ಎನ್‌ಆರ್‌ಐ ಶಾಖೆನ್ ಸುರು ಮಲ್ತೆರ್"
"I have used the engine on Karna when Arjun was not in charge.","ಅರ್ಜುನ ನಿರ್ವಾಹವಿಲ್ಲದೆ ಕರ್ಣನ ಮೇಲೆ ಅಂಜಲಿಕಾಸ್ತ್ರವನ್ನು ಪ್ರಯೋಗಿಸಿದ"
"Kana ( Partner ) Left : October 8th ( IST ) page=put page talk=put_PartnerO Index = PerVD Index talk = Provided PatronO Author = Brand Author talk = Brand Parent Portal = Content Portal talk = Contents","Kana (ಪಾತೆರ್ಲೆ) ೨೧:೩೭  ೨೩ ಅಕ್ಟೋಬರ್ ೨೦೨೪ (IST) page=ಪುಟ page talk= ಪುಟ_ಪಾತೆರೊ Index = ಪರಿವಿಡಿ Index talk = ಪರಿವಿಡಿದ ಪಾತೆರೊ Author = ಬರೆಯಿನಾರ್ Author talk = ಬರೆಯಿನರೆನ ಪಾತೆರೊ Portal = ಸಂಪುಟ Portal talk = ಸಂಪುಟದ ಪಾತೆರೊ Kavitha G"
"A special economic policy of the Prime Minister Narendra Modi-led NDA government has been announced by the Cabinet Committee on Economic Affairs ( CCEA ).","ಮೊಹಾತೀರ್ ಮಲೇಷಿಯಾ ರಡ್ಡ್ ನೇ ಹಂತದ ಏಷ್ಯಾದ ಆರ್ಥಿಕ ಪಿಲಿ ಪಂದ್ ಖ್ಯಾತರಾಯೆರೆ ಕಾರಣರಾಯೆರ್"
"MoreMoreMoreBalchiorG AshroyanCourier in an unregistered district","ಮೇರ್ ಮಾತಾ ನೆರೆಕರೆತ ಜಿಲ್ಲೆಲೆದ ಹರಿಜನ ಬಾಲಕಿಯೆರೆಗ್ ಆಶ್ರಯೊನು ಕೊರಿಯೆರ್"
"Today's Ere Musth Depot Ipundu Tuarey is a very popular place to visit.","ಇಂದೆತ ಇರೆ ಮಸ್ತ್ ದಪ್ಪ ಇಪ್ಪುಂಡು  ತೂಯೆರೆ ಎಲಿತ್ತ ಕೆಬಿತ ಆಕಾರ"
"One of the busiest airports in the world is Bay of Bengal  which is located in the eastern part of the country.","ಬಜಿಲ್ ಮಲ್ಪುನ ವಿದಾನೊ ಒಂಜಿ ಬಾಣಲೆಡ್ ಒಗ್ಗರಣೆಗ್ ಬೋಡಾಯ್ನಾತ್ ಎಣ್ಣೆ ಪಾರ್ದ್ ಅವೆಕ್ಕ್ ದಾಸಿಮಿ  ಉರ್ದು  ಕೆಂಪುಮುಂಚಿ  ಜೀರ್ದರಿ  ಕಡ್ಲೆಸಲಾಯಿ ಬೇವಿರೆ ಪಾರ್ದ್ ಪೊತ್ತದು ಅವೆನ್ ನೀರ್ ಪಾಡಂದೆ ಪೊಡಿ ಮಲ್ಪೊಡು"
"Kapi Pudi Sakaam 1880 AD Bidar ( the only village in Tumakuru district of Karnataka ) Puttuna Sakaaman Appe Ammar R. Ponnuruguru Pooyarurguru","ಕಾಪಿ ಪೊಡಿ ಸಾಕಮ್ಮ 1880ಡ್ ಬಿದರ್ ಡ್ (ಕರ್ನಾಟಕದ ತುಮಕೂರು ಜಿಲ್ಲೆದ ಒಂಜಿ ಊರು) ಪುಟ್ಟುನ ಸಕಮ್ಮನ ಅಪ್ಪೆ ಅಮ್ಮೆರ್ ಆರ್ ಎಲ್ಯ ಪೊಣ್ಣು ಆನಗನೇ ಬೆಂಗಳೂರುಗು ಪೋಯೆರ್"
"The company's manufacturing unit is located on the ground floor of the building along with its manufacturing unit on the roof top and the other side of the tower on the left side.","ಕಪ್ಪೆ ಚೆನ್ನಿಗರಾಯ ದೇವಸ್ಥಾನ ಸೌಮ್ಯನಾಯಕಿ ಅಮ್ಮನ ದೇವಸ್ಥಾನ ಕಲ್ಯಾಣ ಮಂಟಪ ವೀರನಾರಾಯಣ ದೇವಸ್ಥಾನ ರಂಗನಾಯಕಿ ಅಮ್ಮನ ದೇವಸ್ಥಾನ ಉಂದು ಮಾತ್ರ ಅತ್ತಂದೆ ಗೋಪುರದ ಎಡಭಾಗೊಡು ಮಂಟಪ ಸಾಲ್ ಮಲ್ತ್‌ದ್ ಅಲ್ಪ ಕಿನ್ಯ ಗುಡಿಕುಲೆನ್ ಮಲ್ತ್‌ದೆರ್"
"Atmabhyag Karnol 03-05-1979 Doni Kalpana Atmahatya Mantar","ಆತ್ಮಹತ್ಯೆಗ್ ಕಾರನೊಲು 03-05-1979 ದಾನಿ ಕಲ್ಪನಾ ಆತ್ಮ ಹತ್ಯೆ ಮಂತೆರ್"
"Today  to understand the development  propagation and distribution of hooligans  scientists have adopted basic engineering and technology as well as peripheral technology.","ಇಂದು ಹುಲಿಗಳ ವಿಕಾಸ  ಪ್ರಸರಣೆ ಮತ್ತು ವ್ಯಾಪಕತೆಯನ್ನು ಅರ್ಥೈಸಲು ವಿಜ್ಞಾನಿಗಳು ಆಧುನಿಕ ಆಂಗಿಕರಚನೆ  ತಳಿವಿಜ್ಞಾನ ಹಾಗೂ ಪರಿಸರ ವಿಜ್ಞಾನವನ್ನು ಅವಲಂಬಿಸಿದ್ದಾರೆ"
"Turn on the engine  turn on the power supply","ಮುಲ್ಪ ಆನೆದ ಚಾಕ್ರಿ ಭಾರೀ ಪೊರ್ಲುಡು ಮಲ್ಪುವೆರ್"
"Draw a line along the side of the project  using a basic line ( pinyin : cǎo )  followed by a multi-layer line ( yú ).","ಪಿರಾಕ್ದ ಅಕ್ಷರೊನು 艹 ದ ಕಡಿಮೆ ರೂಪೊಡು ಮೂಲಭೂತ 艸 (ಪಿನ್ಯಿನ್: cǎo) ಬೊಕ್ಕ 余 (ಪಿನ್ಯಿನ್: yú) ಅಕ್ಷರೊಡ್ದ್ ಮಲ್ಪುವೆರ್  ಉಂದು ಧ್ವನಿ ಸೂಚನೆನ್ ಕೊರ್ಪುಂಡು"
"pdf स्वरोलो के प्रश्वो दिर्रो जानो आणि होता में अनुतो या इंतरों इन्यालोगी नियातों iː ɨɪː  uː माद्यो e eː əəː ɣ ħuː oː he also has a aː ज्वेलेल","pdf ಸ್ವರೊಲು ಎದುರ್ ನಡು ಪಿರವು ಹ್ರಸ್ವೊ ದೀರ್ಗೊ ಹ್ರಸ್ವೊ ದೀರ್ಗೊ ಹ್ರಸ್ವೊ ದೀರ್ಗೊ ಹ್ರಸ್ವೊ ದೀರ್ಗೊ ಉನ್ನತೊ i iː ɨ ɨː ʉ ʉː u uː ಮದ್ಯೊ e eː ə əː ɵ ɵː o oː ಅವನತೊ a aː ಜ್ವೆಲೆಬಿಲ್ ಬುಕ್ಕೊ ಪೆರಿಯಲ್ವಾರ್ ಕುಲು ದ್ವನಿಸಾಸ್ತ್ರೊಡು ಸುರುಕು ತೋಜಾಯಿನ <ä  ǟ> ಪಟ್ಟಿಮಾಲ್ತೆರ್"
"Yakshagana Jeevan Sridhar Rao RI","ಯಕ್ಷಗಾನ ಜೀವನ ಶ್ರೀಧರ್ ರಾವ್ ಆರ್ ಐ"
"Dash Maren Pilla Piduga ( दाश मेरेन पिल्ला पीडुगा ) बुक्क रानी वर्जनी ( भूक्त ) एंची सुमार सिनिमोलेलेड नायकियाद अबिनेया मलेद्र","ದಾಸ್ ಮೆರೆನ ಪಿಲ್ಲಾ ಪಿಡುಗ(೧೯೭೨) ಬುಕ್ಕ ರಾಣಿ ಔರ್ ಜಾನಿ(೧೯೭೩) ಇಂಚಿನ ಸುಮಾರ್ ಸಿನಿಮೊಲೆಡ್ ನಾಯಕಿಯಾದ್ ಅಬಿನಯ ಮಲ್ದೆರ್"
"There is no such thing as a common-sense full-fledged devotee with a religion-based philosophy since the great Jātilāna Devata Pāṇḍa.","ಗಣಪತಿ ವಿಶಿಷ್ಟ ಜಾತಿಲೆನ ದೇವತೆ ಪಂಡ್‌ದ್ ಎನ್ನಿಯಂದೆ  ಹಿಂದೂ ಧರ್ಮೊನು ನಂಬುನ ಮಾತ ಜಾತಿಪಂಥೊದಕುಲುಲಾ ಸಮಾನವಾದ್ ಪೂಜೆ ಮಲ್ಪುನ ದೇವತೆಯಾದ್ ಇತ್ತೆಲಾ ಮಹಿಮೆನ್ ಪಡೆವೊಂದುಲ್ಲೆ"
"Thuluttu specialization operation Peripheral Class Structural Design EGG","ತುಳುಟ್ಟು ವಿಶೇಷಣ  ಕ್ರಿಯಾವಿಶೇಷಣ ಪನ್ಪಿ ಪ್ರತ್ಯೇಕ ವರ್ಗ ರಾಚನಿಕ ದೃಷ್ಟಿಡ್ದ್ ಇಜ್ಜಿ"
"Kabbadi Block College  Dupungane Kabbaddi State and National Level Moot Tourist","ಕಬಡ್ಡಿ ಬದ್ಕ್ ಕಾಲೇಜಿಡುಪ್ಪುನಗನೆ ಕಬಡಿಡ್ ರಾಜ್ಯ  ರಾಷ್ಟ್ರ ಮಟ್ಟ ಮುಟ್ಟ ಪೋತಿನಾರ್"
